incnum,dtreported,stnum,stname1,stname2,loctype,ra,offensecode,offense,X,Y,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
7040932,11/05/2007 09:08:00 PM,6XX,BROADWAY,,S,85,23F,THEFT FROM MOTOR VEHICLE,-71.10877,42.39869,25,017,350300,1400000US25017350300,25017350300,3503,CT,398110,0
6006878,03/02/2006 12:19:00 PM,6XX,BROADWAY,,,NA,220,BURGLARY/BREAKING AND ENTERING,-71.10885,42.39872,25,017,350300,1400000US25017350300,25017350300,3503,CT,398110,0
11012168,04/13/2011 10:08:00 AM,6XX,BROADWAY,,S,85,240,MOTOR VEHICLE THEFT,-71.10902,42.39877,25,017,350300,1400000US25017350300,25017350300,3503,CT,398110,0
16063745,10/07/2016 11:40:03 AM,6XX,SOMERVILLE AV,,S,82,240,MOTOR VEHICLE THEFT,-71.10991,42.38394,25,017,351204,1400000US25017351204,25017351204,3512.04,CT,579325,0
12049620,12/10/2012 06:01:00 PM,6XX,SOMERVILLE AVE,,S,82,240,MOTOR VEHICLE THEFT,-71.10991,42.38394,25,017,351204,1400000US25017351204,25017351204,3512.04,CT,579325,0
9030348,08/15/2009 02:40:00 PM,6XX,MARSHALL ST,,S,42,23F,THEFT FROM MOTOR VEHICLE,-71.09361,42.39103,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
8002655,01/23/2008 07:55:00 AM,XX,ADAMS ST,,S,39,23F,THEFT FROM MOTOR VEHICLE,-71.10014,42.39470,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
7008731,03/15/2007 08:58:00 PM,XX,ALBION ST E,,S,NA,220,BURGLARY/BREAKING AND ENTERING,-71.10581,42.39094,25,017,351100,1400000US25017351100,25017351100,3511,CT,682663,0
10031493,09/16/2010 05:11:00 PM,XX,BOSTON ST,,S,21,220,BURGLARY/BREAKING AND ENTERING,-71.09304,42.38270,25,017,351300,1400000US25017351300,25017351300,3513,CT,515813,0
8025554,07/23/2008 12:51:00 PM,XX,BOW ST,,S,51,220,BURGLARY/BREAKING AND ENTERING,-71.09919,42.38155,25,017,351204,1400000US25017351204,25017351204,3512.04,CT,579325,0
9042694,11/18/2009 11:59:00 PM,XX,BROMFIELD RD,,S,101,220,BURGLARY/BREAKING AND ENTERING,-71.11611,42.40259,25,017,350400,1400000US25017350400,25017350400,3504,CT,600540,0
13013161,04/04/2013 05:43:54 PM,XX,CHERRY ST,,S,97,220,BURGLARY/BREAKING AND ENTERING,-71.11439,42.39219,25,017,351000,1400000US25017351000,25017351000,3510,CT,668313,0
14016044,05/21/2014 06:53:31 PM,XX,COLUMBUS AVE,,S,22,220,BURGLARY/BREAKING AND ENTERING,-71.09480,42.38173,25,017,351300,1400000US25017351300,25017351300,3513,CT,515813,0
8016468,05/17/2008 07:02:00 AM,XX,COLUMBUS AVE,,S,22,23F,THEFT FROM MOTOR VEHICLE,-71.09480,42.38173,25,017,351300,1400000US25017351300,25017351300,3513,CT,515813,0
14044471,12/16/2014 02:29:38 PM,XX,CONCORD AVE,,S,58,23F,THEFT FROM MOTOR VEHICLE,-71.09926,42.37664,25,017,351203,1400000US25017351203,25017351203,3512.03,CT,407690,0
12042014,10/18/2012 11:17:00 AM,XX,CRAIGIE ST,,S,77,220,BURGLARY/BREAKING AND ENTERING,-71.11124,42.38745,25,017,351000,1400000US25017351000,25017351000,3510,CT,668313,0
13000662,01/05/2013 02:08:00 PM,XX,DARTMOUTH ST,,S,39,220,BURGLARY/BREAKING AND ENTERING,-71.09596,42.39242,25,017,350200,1400000US25017350200,25017350200,3502,CT,683707,0
7046066,12/21/2007 12:08:00 AM,XX,EDGAR AVE,,S,33,220,BURGLARY/BREAKING AND ENTERING,-71.09608,42.39702,25,017,350104,1400000US25017350104,25017350104,3501.04,CT,917458,1616
14040780,11/19/2014 08:31:58 PM,XX,ELMWOOD ST,,S,125,220,BURGLARY/BREAKING AND ENTERING,-71.12766,42.39874,25,017,350800,1400000US25017350800,25017350800,3508,CT,211545,0
9041617,11/10/2009 10:36:00 AM,XX,FARRAGUT AVE,,S,130,23F,THEFT FROM MOTOR VEHICLE,-71.13120,42.40370,25,017,350700,1400000US25017350700,25017350700,3507,CT,783926,29493
17011031,02/20/2017 04:59:56 PM,XX,FLORENCE ST,,S,12,220,BURGLARY/BREAKING AND ENTERING,-71.08240,42.38441,25,017,351403,1400000US25017351403,25017351403,3514.03,CT,367182,0
12016826,05/04/2012 03:21:00 PM,XX,GOV WINTHROP RD,,S,32,23F,THEFT FROM MOTOR VEHICLE,-71.08766,42.39640,25,017,350103,1400000US25017350103,25017350103,3501.03,CT,891195,227873
12048791,12/05/2012 07:07:00 PM,XX,GOV WINTHROP RD,,S,32,23F,THEFT FROM MOTOR VEHICLE,-71.08766,42.39640,25,017,350103,1400000US25017350103,25017350103,3501.03,CT,891195,227873
15050858,10/15/2015 09:21:46 AM,XX,GROVE ST,,S,104,220,BURGLARY/BREAKING AND ENTERING,-71.11976,42.39675,25,017,350400,1400000US25017350400,25017350400,3504,CT,600540,0
