incnum,dtreported,stnum,stname1,stname2,loctype,ra,offensecode,offense,X,Y
9022093,06/18/2009 01:06:00 PM,XX,WASHINGTON ST,,S,15,220,BURGLARY/BREAKING AND ENTERING,-71.085277,42.381538
8005636,02/17/2008 09:28:00 PM,XX,WASHINGTON ST,,S,15,23F,THEFT FROM MOTOR VEHICLE,-71.085277,42.381538
11000292,01/03/2011 09:07:00 PM,XX,WASHINGTON ST,,B,15,23F,THEFT FROM MOTOR VEHICLE,-71.085277,42.381538
11038432,11/11/2011 09:40:00 PM,XX,WASHINGTON ST,,S,15,23F,THEFT FROM MOTOR VEHICLE,-71.085277,42.381538
11019924,06/20/2011 09:50:00 AM,XX,WHEATLAND ST,,S,35,240,MOTOR VEHICLE THEFT,-71.088385,42.393104
11008301,03/08/2011 09:14:00 AM,XX,WHEATLAND ST,,S,35,240,MOTOR VEHICLE THEFT,-71.088385,42.393104
7014595,04/30/2007 07:32:00 AM,8XX,BROADWAY,,S,NA,220,BURGLARY/BREAKING AND ENTERING,-71.117814,42.400776
11032659,10/03/2011 05:07:00 AM,8XX,BROADWAY,,B,113,220,BURGLARY/BREAKING AND ENTERING,-71.117814,42.400776
10038898,11/22/2010 05:32:00 AM,8XX,BROADWAY,,S,113,120,ROBBERY,-71.117814,42.400776
7043271,11/27/2007 04:14:00 AM,8XX,BROADWAY,,B,113,220,BURGLARY/BREAKING AND ENTERING,-71.117814,42.400776
13022055,06/07/2013 09:16:15 PM,8XX,BROADWAY,,B,111,23F,THEFT FROM MOTOR VEHICLE,-71.117748,42.400887
6042540,12/10/2006 08:33:00 AM,8XX,BROADWAY,,S,NA,220,BURGLARY/BREAKING AND ENTERING,-71.117955,42.400773
11017520,05/30/2011 10:31:00 AM,8XX,BROADWAY,,S,7,220,BURGLARY/BREAKING AND ENTERING,-71.082281,42.38735
7006537,02/26/2007 02:59:00 AM,XX,BOSTON ST,,S,NA,220,BURGLARY/BREAKING AND ENTERING,-71.094627,42.383177
9010064,03/21/2009 11:41:00 PM,XX,BROADWAY,,B,11,220,BURGLARY/BREAKING AND ENTERING,-71.082349,42.387119
6009956,03/27/2006 05:53:00 AM,XX,BROADWAY,,,NA,220,BURGLARY/BREAKING AND ENTERING,-71.082349,42.387119
6027711,08/11/2006 10:14:00 AM,XX,BROADWAY,,S,NA,220,BURGLARY/BREAKING AND ENTERING,-71.082349,42.387119
12018446,05/15/2012 06:19:00 PM,XX,BROMFIELD RD,,S,101,220,BURGLARY/BREAKING AND ENTERING,-71.116335,42.403001
5021371,07/07/2005 12:35:00 AM,XX,BROMFIELD RD,,,NA,220,BURGLARY/BREAKING AND ENTERING,-71.116335,42.403001
15024650,05/29/2015 12:15:41 AM,XX,BROMFIELD RD,,S,101,220,BURGLARY/BREAKING AND ENTERING,-71.116335,42.403001
6025215,07/23/2006 12:45:00 PM,XX,CONCORD AVE,,S,NA,220,BURGLARY/BREAKING AND ENTERING,-71.100919,42.376103
10013653,04/30/2010 08:53:00 AM,XX,CONWELL AVE,,S,127,23F,THEFT FROM MOTOR VEHICLE,-71.128543,42.408113
17025020,04/29/2017 12:43:35 PM,XX,ELECTRIC AV,,S,121,23F,THEFT FROM MOTOR VEHICLE,-71.12525,42.403728
13003258,01/23/2013 01:31:00 PM,XX,ELECTRIC AVE,,S,121,23F,THEFT FROM MOTOR VEHICLE,-71.12525,42.403728
9032415,09/01/2009 09:19:00 AM,XX,ELECTRIC AVE,,S,121,23F,THEFT FROM MOTOR VEHICLE,-71.12525,42.403728
5013817,05/06/2005 01:11:00 AM,XX,ELM ST,,,NA,220,BURGLARY/BREAKING AND ENTERING,-71.116575,42.3891
9034662,09/18/2009 03:57:00 PM,XX,FELLSWAY W,,S,35,220,BURGLARY/BREAKING AND ENTERING,-71.088371,42.392291
6028453,08/17/2006 07:24:00 PM,XX,GILMAN ST,,S,NA,220,BURGLARY/BREAKING AND ENTERING,-71.092472,42.386018
16057963,09/13/2016 03:03:14 PM,XX,GILMAN ST,,S,13,23F,THEFT FROM MOTOR VEHICLE,-71.092472,42.386018
8022038,06/27/2008 07:50:00 PM,XX,GLENWOOD RD,,S,64,220,BURGLARY/BREAKING AND ENTERING,-71.102226,42.394893
7028784,08/08/2007 06:26:00 PM,XX,HOOKER AVE,,S,NA,220,BURGLARY/BREAKING AND ENTERING,-71.132929,42.403528
11027980,08/27/2011 02:45:00 PM,XX,HOOKER AVE,,S,130,23F,THEFT FROM MOTOR VEHICLE,-71.132929,42.403528
6018320,06/02/2006 07:40:00 AM,XX,HUDSON ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.107218,42.390639
