incnum,dtreported,stnum,stname1,stname2,loctype,ra,offensecode,offense,X,Y
7026331,07/21/2007 12:50:00 AM,XX,15 TENNYSON STREET,,I,NA,120,ROBBERY,-71.1000258,42.3918254
8035903,10/06/2008 09:46:00 AM,XX,422 MYSTIC AVE,,S,35,23F,THEFT FROM MOTOR VEHICLE,-71.0890077,42.395087
5042153,12/24/2005 04:43:00 AM,XX,709 MCGRATH HWY,,,NA,120,ROBBERY,-71.086728,42.390629
8000319,01/03/2008 07:00:00 PM,XX,ABERDEEN RD,,S,97,23F,THEFT FROM MOTOR VEHICLE,-71.1135465,42.3920485
7017731,05/23/2007 11:33:00 AM,XX,ACADIA PK,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1169224,42.3882612
8019411,06/08/2008 10:14:00 AM,XX,ADAMS ST,,S,64,240,MOTOR VEHICLE THEFT,-71.0995474,42.3956576
9016751,05/11/2009 11:01:00 PM,XX,ADRIAN ST,,S,58,240,MOTOR VEHICLE THEFT,-71.0989407,42.3773079
13000765,01/06/2013 08:56:00 AM,XX,ALBION PL,,S,70,23F,THEFT FROM MOTOR VEHICLE,-71.1082782,42.3924723
13030072,08/08/2013 04:42:15 PM,XX,ALBION ST E,,S,33,240,MOTOR VEHICLE THEFT,-71.1071395,42.3913877
6023666,07/12/2006 12:12:00 PM,XX,ALBION ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.1071395,42.3913877
13008302,02/28/2013 12:11:18 AM,XX,ALDERSEY STREET,,S,22,120,ROBBERY,-71.0975623,42.3835577
5007186,03/06/2005 06:13:00 PM,XX,ALEWIFE BROOK PKY,,,NA,240,MOTOR VEHICLE THEFT,-71.1343051,42.4044075
7000831,01/08/2007 08:23:00 AM,XX,ALEWIFE BROOK PKY,,P,NA,220,BURGLARY/BREAKING AND ENTERING,-71.1343051,42.4044075
12018142,05/13/2012 08:23:00 PM,XX,ALLEN ST,,S,25,23F,THEFT FROM MOTOR VEHICLE,-71.0931158,42.3786491
16004443,01/25/2016 12:18:52 PM,XX,ALLEN ST,,S,25,23F,THEFT FROM MOTOR VEHICLE,-71.0931158,42.3786491
8025079,07/20/2008 12:21:00 PM,XX,ALSTON ST,,S,18,240,MOTOR VEHICLE THEFT,-71.0889992,42.3812442
5030585,09/18/2005 11:00:00 AM,XX,AMES ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.1022027,42.3923579
6033197,09/21/2006 11:42:00 PM,XX,ARLINGTON ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.0821199,42.3860112
16078699,12/15/2016 01:04:19 PM,XX,ARTISAN WAY,,S,4,23F,THEFT FROM MOTOR VEHICLE,-71.0793023,42.3951406
14040002,11/13/2014 02:14:21 PM,XX,ARTISAN WAY,,S,1,23F,THEFT FROM MOTOR VEHICLE,-71.0793023,42.3951406
6003039,01/27/2006 08:19:00 PM,XX,ASH AVE,,,NA,120,ROBBERY,-71.0955993,42.3984653
14044591,12/17/2014 07:42:42 AM,XX,ASSEMBLY ROW,,S,4,240,MOTOR VEHICLE THEFT,-71.0790672,42.3938793
15057682,11/22/2015 06:41:35 PM,XX,ASSEMBLY ROW,,S,1,240,MOTOR VEHICLE THEFT,-71.0790672,42.3938793
14003872,02/04/2014 06:35:24 AM,XX,ASSEMBLY ROW,,S,4,220,BURGLARY/BREAKING AND ENTERING,-71.0790672,42.3938793
5020155,06/27/2005 07:40:00 AM,XX,ASSEMBLY SQ MALL,,,NA,240,MOTOR VEHICLE THEFT,-71.1044218,42.3910507
5019537,06/22/2005 02:00:00 AM,XX,AUBURN AVE,,,NA,23F,THEFT FROM MOTOR VEHICLE,-71.0909343,42.384445
5001408,01/14/2005 12:30:00 AM,XX,AUBURN AVE,,,NA,23F,THEFT FROM MOTOR VEHICLE,-71.0909343,42.384445
6023398,07/10/2006 09:30:00 AM,XX,AUBURN AVE,,S,NA,240,MOTOR VEHICLE THEFT,-71.0909343,42.384445
12040435,10/06/2012 07:32:00 PM,XX,AUSTIN ST,,S,7,23F,THEFT FROM MOTOR VEHICLE,-71.0804311,42.3876916
13040569,10/28/2013 01:54:07 PM,XX,AVON ST,,S,46,23F,THEFT FROM MOTOR VEHICLE,-71.1021565,42.3856972
11021344,07/02/2011 03:46:00 AM,XX,BAILEY RD,,S,31,23F,THEFT FROM MOTOR VEHICLE,-71.086198,42.3943903
8007793,03/07/2008 03:05:00 PM,XX,BAILEY RD,,S,32,220,BURGLARY/BREAKING AND ENTERING,-71.086198,42.3943903
16031428,05/30/2016 02:15:44 PM,XX,BAILEY RD,,S,32,240,MOTOR VEHICLE THEFT,-71.086198,42.3943903
7001100,01/10/2007 02:31:00 PM,XX,BAILEY RD,,S,NA,240,MOTOR VEHICLE THEFT,-71.086198,42.3943903
9012780,04/13/2009 07:49:00 PM,XX,BAILEY RD,,S,32,240,MOTOR VEHICLE THEFT,-71.086198,42.3943903
8036333,10/09/2008 11:32:00 AM,XX,BAILEY RD,,B,NA,120,ROBBERY,-71.086198,42.3943903
6014378,05/01/2006 11:37:00 AM,XX,BANKS ST,,,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1175413,42.3916642
6009394,03/22/2006 08:15:00 PM,XX,BARTON ST,,,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1300026,42.4065746
7020634,06/11/2007 02:30:00 AM,XX,BARTON ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1300026,42.4065746
6024311,07/14/2006 12:40:00 PM,XX,BEACON ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1091985,42.3805793
9002342,01/19/2009 10:50:00 AM,XX,BEACON ST,,S,99,23F,THEFT FROM MOTOR VEHICLE,-71.1091985,42.3805793
10019488,06/12/2010 02:06:00 AM,XX,BEACON ST,,S,59,240,MOTOR VEHICLE THEFT,-71.1091985,42.3805793
10028286,08/21/2010 09:37:00 PM,XX,BEACON ST,,S,53,23F,THEFT FROM MOTOR VEHICLE,-71.1091985,42.3805793
10007308,03/08/2010 09:44:00 PM,XX,BEACON ST,,S,99,240,MOTOR VEHICLE THEFT,-71.1091985,42.3805793
7043014,11/24/2007 10:02:00 PM,XX,BEACON ST,,S,99,23F,THEFT FROM MOTOR VEHICLE,-71.1091985,42.3805793
8005606,02/17/2008 03:57:00 PM,XX,BEACON ST,,S,59,240,MOTOR VEHICLE THEFT,-71.1091985,42.3805793
5006743,02/28/2005 08:16:00 AM,XX,BEECH ST,,,NA,240,MOTOR VEHICLE THEFT,-71.1076699,42.3840609
8012953,04/18/2008 10:20:00 AM,XX,BELMONT ST,,S,74,23F,THEFT FROM MOTOR VEHICLE,-71.1093024,42.3869797
7012139,04/10/2007 03:58:00 PM,XX,BELMONT ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.1093024,42.3869797
8005288,02/14/2008 11:46:00 PM,XX,BELMONT ST,,S,74,23F,THEFT FROM MOTOR VEHICLE,-71.1093024,42.3869797
7016219,05/11/2007 08:27:00 PM,XX,BELMONT ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.1093024,42.3869797
5032315,10/02/2005 12:31:00 PM,XX,BENEDICT ST,,,NA,23F,THEFT FROM MOTOR VEHICLE,-71.0800141,42.3874053
8033076,09/16/2008 09:07:00 AM,XX,BENTON RD,,S,71,23F,THEFT FROM MOTOR VEHICLE,-71.1056027,42.3884824
5016045,05/24/2005 09:00:00 PM,XX,BENTON RD,,,NA,240,MOTOR VEHICLE THEFT,-71.1056027,42.3884824
8016996,05/21/2008 08:55:00 AM,XX,BENTON RD,,S,74,23F,THEFT FROM MOTOR VEHICLE,-71.1056027,42.3884824
7035502,09/25/2007 11:40:00 AM,XX,BENTON RD,,S,74,23F,THEFT FROM MOTOR VEHICLE,-71.1056027,42.3884824
11011048,04/02/2011 10:48:00 AM,XX,BENTON RD,,S,71,240,MOTOR VEHICLE THEFT,-71.1056027,42.3884824
5029321,09/08/2005 09:00:00 PM,XX,BIKE PATH BETWN DAVIS & WILLOW,,,NA,120,ROBBERY,-71.228943,42.39595
7034823,09/20/2007 09:02:00 PM,XX,BIKE PATH,,S,999,120,ROBBERY,-71.1341689,42.4071726
5039809,12/03/2005 08:24:00 PM,XX,BIKE PATH/CEDAR ST,,,NA,120,ROBBERY,-71.1116152,42.3932815
8004863,02/11/2008 09:54:00 AM,XX,BONAIR ST,,S,10,23F,THEFT FROM MOTOR VEHICLE,-71.0893109,42.3884767
13001979,01/14/2013 08:09:00 PM,XX,BONAIR ST,,S,9,23F,THEFT FROM MOTOR VEHICLE,-71.0893109,42.3884767
6033279,09/22/2006 02:36:00 PM,XX,BOND ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.0959078,42.3953106
13042461,11/12/2013 07:25:02 PM,XX,BONNER AVE,,S,24,23F,THEFT FROM MOTOR VEHICLE,-71.0938011,42.3800989
12039125,09/27/2012 04:02:00 PM,XX,BONNER AVE,,S,24,23F,THEFT FROM MOTOR VEHICLE,-71.0938011,42.3800989
12028398,07/21/2012 10:12:00 AM,XX,BONNER AVE,,S,24,23F,THEFT FROM MOTOR VEHICLE,-71.0938011,42.3800989
6040650,11/23/2006 01:41:00 AM,XX,BOSTON AVE,,,NA,240,MOTOR VEHICLE THEFT,-71.1116653,42.3999481
5032142,10/01/2005 02:50:00 AM,XX,BOSTON ST,,,NA,240,MOTOR VEHICLE THEFT,-71.0913588,42.3390059
9038606,10/17/2009 10:33:00 PM,XX,BOSTON ST,,S,21,23F,THEFT FROM MOTOR VEHICLE,-71.0913588,42.3390059
15024245,05/26/2015 09:06:33 PM,XX,BOSTON ST,,S,21,240,MOTOR VEHICLE THEFT,-71.0913588,42.3390059
6024849,07/21/2006 07:15:00 AM,XX,BOSTON ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.0913588,42.3390059
7045079,12/13/2007 05:31:00 PM,XX,BOW ST,,S,52,240,MOTOR VEHICLE THEFT,-71.0987357,42.3815762
10032960,09/28/2010 07:35:00 PM,XX,BOW ST,,S,52,23F,THEFT FROM MOTOR VEHICLE,-71.0987357,42.3815762
14034668,10/08/2014 09:30:23 AM,XX,BOW ST,,S,52,240,MOTOR VEHICLE THEFT,-71.0987357,42.3815762
8003448,01/30/2008 02:14:00 AM,XX,BRASTOW AVE,,S,32,23F,THEFT FROM MOTOR VEHICLE,-71.1097654,42.3886473
5018466,06/13/2005 07:58:00 AM,XX,BRASTOW AVE,,,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1097654,42.3886473
8041664,11/16/2008 09:31:00 PM,XX,BROADWAY & LEONARD ST.,,S,120,120,ROBBERY,-78.589606,42.8912372
5008570,03/19/2005 09:31:00 PM,XX,BROADWAY & POWDER HOUSE PK,,,NA,120,ROBBERY,-78.589606,42.8912372
15009603,03/03/2015 10:06:45 PM,XX,BROADWAY / CEDAR STREET,,B,85,23F,THEFT FROM MOTOR VEHICLE,-71.10781,42.398373
7045317,12/15/2007 06:19:00 PM,XX,BROADWAY,,S,11,240,MOTOR VEHICLE THEFT,-71.1075914,42.3983788
6020410,06/18/2006 03:40:00 AM,XX,BROADWAY,,C,NA,120,ROBBERY,-71.1075914,42.3983788
5027069,08/21/2005 04:15:00 PM,XX,BROADWAY,,,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1075914,42.3983788
8007348,03/03/2008 04:47:00 PM,XX,BROADWAY,,S,11,240,MOTOR VEHICLE THEFT,-71.1075914,42.3983788
5012167,04/21/2005 11:57:00 PM,XX,BROADWAY,,,NA,240,MOTOR VEHICLE THEFT,-71.1075914,42.3983788
8034017,09/22/2008 10:17:00 PM,XX,BROADWAY,,S,8,240,MOTOR VEHICLE THEFT,-71.1075914,42.3983788
7025552,07/15/2007 05:59:00 PM,XX,BROADWAY,,P,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1075914,42.3983788
7040669,11/03/2007 02:08:00 PM,XX,BROADWAY,,S,8,240,MOTOR VEHICLE THEFT,-71.1075914,42.3983788
8047241,12/31/2008 05:11:00 PM,XX,BROADWAY,,S,10,240,MOTOR VEHICLE THEFT,-71.1075914,42.3983788
14043120,12/07/2014 10:07:00 AM,XX,BROADWAY,,S,132,240,MOTOR VEHICLE THEFT,-71.1075914,42.3983788
5012188,04/22/2005 09:21:00 AM,XX,BROADWAY,,,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1075914,42.3983788
6019549,06/11/2006 09:14:00 PM,XX,BROMFIELD RD,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1160728,42.4016615
6002281,01/21/2006 09:57:00 AM,XX,BROMFIELD RD,,,NA,240,MOTOR VEHICLE THEFT,-71.1160728,42.4016615
13011993,03/27/2013 06:07:27 PM,XX,BUCKINGHAM ST,,S,60,240,MOTOR VEHICLE THEFT,-71.1036425,42.3761973
9022517,06/21/2009 01:43:00 AM,XX,BUENA VISTA RD,,S,115,23F,THEFT FROM MOTOR VEHICLE,-71.1245128,42.3977504
7030274,08/19/2007 03:50:00 PM,XX,BUENA VISTA RD,,S,115,23F,THEFT FROM MOTOR VEHICLE,-71.1245128,42.3977504
6020776,06/21/2006 01:21:00 AM,XX,BUENA VISTA RD,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1245128,42.3977504
14025727,08/03/2014 11:44:10 AM,XX,BURNSIDE AVE,,S,100,23F,THEFT FROM MOTOR VEHICLE,-71.117233,42.3908623
8004085,02/04/2008 01:44:00 PM,XX,BUTLER DR,,S,34,240,MOTOR VEHICLE THEFT,-71.0901851,42.396174
8003545,01/30/2008 11:31:00 PM,XX,BUTLER DR,,S,34,120,ROBBERY,-71.0901851,42.396174
13004787,02/02/2013 08:41:00 PM,XX,BUTLER DR,,S,35,120,ROBBERY,-71.0901851,42.396174
6018494,06/03/2006 10:37:00 AM,XX,BUTLER DR,,S,NA,240,MOTOR VEHICLE THEFT,-71.0901851,42.396174
5028888,09/05/2005 07:37:00 AM,XX,BUTLER DR,,,NA,240,MOTOR VEHICLE THEFT,-71.0901851,42.396174
5041250,12/16/2005 04:57:00 PM,XX,BUTLER DR,,,NA,240,MOTOR VEHICLE THEFT,-71.0901851,42.396174
10037394,11/07/2010 01:29:00 PM,XX,BUTLER DR,,S,34,23F,THEFT FROM MOTOR VEHICLE,-71.0901851,42.396174
7024025,07/04/2007 10:38:00 AM,XX,BUTLER DR,,S,NA,240,MOTOR VEHICLE THEFT,-71.0901851,42.396174
5030039,09/14/2005 11:42:00 AM,XX,BUTLER DR,,S,NA,240,MOTOR VEHICLE THEFT,-71.0901851,42.396174
8002910,01/25/2008 12:00:00 PM,XX,BUTLER DR,,S,34,23F,THEFT FROM MOTOR VEHICLE,-71.0901851,42.396174
10010843,04/07/2010 08:03:00 AM,XX,BUTLER DR,,S,34,23F,THEFT FROM MOTOR VEHICLE,-71.0901851,42.396174
17004412,01/22/2017 12:23:10 AM,XX,CALVIN ST,,S,58,23F,THEFT FROM MOTOR VEHICLE,-71.1041402,42.3776181
8016634,05/18/2008 01:27:00 PM,XX,CALVIN ST,,S,59,23F,THEFT FROM MOTOR VEHICLE,-71.1041402,42.3776181
7007778,03/09/2007 12:36:00 AM,XX,CAMBRIA ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.105966,42.3879499
13015747,04/22/2013 01:16:54 PM,XX,CANAL LA,,S,34,240,MOTOR VEHICLE THEFT,-71.079673,42.3941311
16034669,06/11/2016 10:46:16 PM,XX,CANAL LN,,S,34,240,MOTOR VEHICLE THEFT,-71.0939578,42.3967414
14035768,10/15/2014 09:50:46 PM,XX,CANAL ST,,S,1,240,MOTOR VEHICLE THEFT,-71.079673,42.3941311
16009797,02/20/2016 04:41:42 PM,XX,CARLTON ST,,S,55,240,MOTOR VEHICLE THEFT,-71.1000577,42.380813
5038463,11/21/2005 09:00:00 PM,XX,CARLTON ST,,,NA,120,ROBBERY,-71.1000577,42.380813
13000651,01/05/2013 01:10:00 PM,XX,CARLTON ST,,S,55,23F,THEFT FROM MOTOR VEHICLE,-71.1000577,42.380813
6027381,08/08/2006 11:43:00 AM,XX,CEDAR ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1116152,42.3932815
8043402,11/30/2008 12:09:00 PM,XX,CENTRAL ST,,S,79,240,MOTOR VEHICLE THEFT,-71.1028442,42.3892476
7004271,02/07/2007 02:37:00 PM,XX,CENTRAL ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.1028442,42.3892476
10033299,10/01/2010 01:01:00 PM,XX,CENTRAL ST,,S,79,23F,THEFT FROM MOTOR VEHICLE,-71.1028442,42.3892476
13031579,08/19/2013 02:59:05 PM,XX,CENTRAL ST,,S,135,240,MOTOR VEHICLE THEFT,-71.1028442,42.3892476
9014233,04/24/2009 11:30:00 AM,XX,CENTRAL ST,,S,135,23F,THEFT FROM MOTOR VEHICLE,-71.1028442,42.3892476
7039116,10/22/2007 06:07:00 PM,XX,CENTRAL ST,,S,71,120,ROBBERY,-71.1028442,42.3892476
7022841,06/25/2007 09:27:00 PM,XX,CENTRAL STREET,,S,NA,120,ROBBERY,-71.1028442,42.3892476
6011783,04/10/2006 09:59:00 AM,XX,CHARLES E RYAN RD,,,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1064629,42.3967239
9021615,06/15/2009 08:36:00 AM,XX,CHERRY ST,,S,94,240,MOTOR VEHICLE THEFT,-71.1150191,42.3913688
13022294,06/09/2013 04:33:51 PM,XX,CHESTER PL,,S,108,240,MOTOR VEHICLE THEFT,-71.1235319,42.3950435
12013971,04/14/2012 02:06:00 PM,XX,CHESTER ST,,S,109,240,MOTOR VEHICLE THEFT,-71.1229795,42.3945862
8022242,06/29/2008 04:13:00 AM,XX,CHESTER ST,,S,134,23F,THEFT FROM MOTOR VEHICLE,-71.1229795,42.3945862
7011307,04/03/2007 05:14:00 PM,XX,CHESTNUT ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.0863493,42.3778637
5039887,12/04/2005 02:07:00 PM,XX,CHESTNUT ST,,,NA,240,MOTOR VEHICLE THEFT,-71.0863493,42.3778637
14032579,09/24/2014 06:25:38 AM,XX,CLARK ST,,S,58,23F,THEFT FROM MOTOR VEHICLE,-71.0978498,42.3783753
17014195,03/07/2017 10:24:44 PM,XX,CLEVELAND ST,,S,79,240,MOTOR VEHICLE THEFT,-71.1067869,42.3850232
11010147,03/25/2011 12:20:00 PM,XX,CLYDE ST,,S,68,23F,THEFT FROM MOTOR VEHICLE,-71.1089863,42.3946977
6016919,05/22/2006 08:55:00 AM,XX,CLYDE STREET,,S,NA,240,MOTOR VEHICLE THEFT,-71.1089863,42.3946977
7014139,04/26/2007 02:03:00 PM,XX,COLLEGE AVE,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1177211,42.4002331
10036387,10/29/2010 02:40:00 PM,XX,COLLEGE HILL RD,,S,126,23F,THEFT FROM MOTOR VEHICLE,-71.1284082,42.4088486
17013321,03/03/2017 12:30:46 PM,XX,CONCORD AV,,S,28,240,MOTOR VEHICLE THEFT,-71.0990965,42.3765593
5001772,01/17/2005 10:03:00 AM,XX,CONNECTICUT AVE,,,NA,240,MOTOR VEHICLE THEFT,-71.0836191,42.3901525
10036472,10/30/2010 01:21:00 AM,XX,CONWELL AVE,,S,126,120,ROBBERY,-71.1272063,42.4076914
8008196,03/10/2008 09:19:00 PM,XX,COONEY ST,,S,60,23F,THEFT FROM MOTOR VEHICLE,-71.1044968,42.3758224
7021164,06/14/2007 02:10:00 PM,XX,CRAIGIE ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1117747,42.3868189
13010958,03/19/2013 08:35:56 PM,XX,CRAIGIE ST,,S,77,240,MOTOR VEHICLE THEFT,-71.1117747,42.3868189
14043262,12/08/2014 10:55:09 AM,XX,CRAIGIE TERR,,S,77,23F,THEFT FROM MOTOR VEHICLE,-71.1128537,42.385935
11038550,11/12/2011 07:53:00 PM,XX,CRESCENT ST,,S,15,23F,THEFT FROM MOTOR VEHICLE,-71.0803523,42.3826663
14039560,11/09/2014 08:12:58 PM,XX,CREST HILL RD,,S,31,23F,THEFT FROM MOTOR VEHICLE,-71.0865277,42.3991327
10031838,09/19/2010 04:42:00 PM,XX,CROCKER ST,,S,73,240,MOTOR VEHICLE THEFT,-71.1103606,42.3894639
12030191,07/31/2012 09:34:00 PM,XX,CROCKER ST,,S,73,240,MOTOR VEHICLE THEFT,-71.1103606,42.3894639
7034428,09/18/2007 11:19:00 AM,XX,CROSS ST E,,S,5,23F,THEFT FROM MOTOR VEHICLE,-71.0848733,42.3898102
8043318,11/29/2008 08:49:00 PM,XX,CROSS ST E,,S,5,240,MOTOR VEHICLE THEFT,-71.0848733,42.3898102
5002188,01/21/2005 03:32:00 AM,XX,CROSS ST E,,,NA,23F,THEFT FROM MOTOR VEHICLE,-71.0848733,42.3898102
11043052,12/14/2011 09:07:00 AM,XX,CROSS ST E,,S,5,23F,THEFT FROM MOTOR VEHICLE,-71.0848733,42.3898102
7028591,08/07/2007 06:26:00 AM,XX,CROSS ST E,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.0848733,42.3898102
6039215,11/11/2006 01:46:00 AM,XX,CROSS ST E,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.0848733,42.3898102
7001947,01/18/2007 02:19:00 AM,XX,CROSS ST PL,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.0867783,42.3882374
6022088,06/21/2006 02:10:00 PM,XX,CROSS ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.0880317,42.3854096
7008903,03/17/2007 03:22:00 AM,XX,CROSS ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.0880317,42.3854096
8031698,09/06/2008 01:04:00 PM,XX,CROSS ST,,S,14,23F,THEFT FROM MOTOR VEHICLE,-71.0880317,42.3854096
13039602,10/20/2013 06:01:39 PM,XX,CROSS ST,,S,11,240,MOTOR VEHICLE THEFT,-71.0880317,42.3854096
6006147,02/24/2006 07:02:00 AM,XX,CROWN ST,,,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1103606,42.3894639
5035042,10/24/2005 07:32:00 PM,XX,CROWN ST,,,NA,240,MOTOR VEHICLE THEFT,-71.1103606,42.3894639
9001818,01/15/2009 08:02:00 AM,XX,CUMMINGS ST,,S,3,240,MOTOR VEHICLE THEFT,-71.0845323,42.3938041
11014637,05/04/2011 10:27:00 PM,XX,CURTIS ST,,S,128,23F,THEFT FROM MOTOR VEHICLE,-71.1251549,42.4064804
11014449,05/03/2011 03:08:00 PM,XX,CURTIS ST,,S,128,23F,THEFT FROM MOTOR VEHICLE,-71.1251549,42.4064804
12038818,09/25/2012 04:56:00 PM,XX,CURTIS ST,,S,126,240,MOTOR VEHICLE THEFT,-71.1251549,42.4064804
9002763,01/22/2009 01:47:00 PM,XX,CYPRESS ST,,S,79,240,MOTOR VEHICLE THEFT,-71.1076699,42.3840609
5034782,10/22/2005 12:27:00 PM,XX,DANA ST,,,NA,23F,THEFT FROM MOTOR VEHICLE,-71.0899929,42.3880252
5011260,04/13/2005 07:00:00 AM,XX,DANA ST,,,NA,240,MOTOR VEHICLE THEFT,-71.0899929,42.3880252
5018646,06/14/2005 04:43:00 PM,XX,DANA ST,,,NA,240,MOTOR VEHICLE THEFT,-71.0899929,42.3880252
12038099,09/20/2012 07:19:00 PM,XX,DANE AVE,,S,56,23F,THEFT FROM MOTOR VEHICLE,-71.1036388,42.3803012
9005113,02/09/2009 01:02:00 PM,XX,DANE ST,,S,56,120,ROBBERY,-71.1043636,42.3808559
5037659,11/15/2005 10:18:00 AM,XX,DANE ST,,,NA,120,ROBBERY,-71.1043636,42.3808559
6044955,12/31/2006 05:18:00 PM,XX,DARTMOUTH ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.0965187,42.3917521
13029663,08/05/2013 02:36:40 PM,XX,DARTMOUTH ST,,S,41,240,MOTOR VEHICLE THEFT,-71.0965187,42.3917521
5001560,01/15/2005 10:21:00 AM,XX,DARTMOUTH ST,,,NA,240,MOTOR VEHICLE THEFT,-71.0965187,42.3917521
5005009,02/13/2005 09:32:00 PM,XX,DARTMOUTH ST,,,NA,240,MOTOR VEHICLE THEFT,-71.0965187,42.3917521
14003886,02/04/2014 09:50:00 AM,XX,DAVIS SQ,,S,136,23F,THEFT FROM MOTOR VEHICLE,-71.1223151,42.3967172
11025297,08/04/2011 07:20:00 PM,XX,DAVIS SQ,,S,136,240,MOTOR VEHICLE THEFT,-71.1223151,42.3967172
5039964,12/05/2005 10:46:00 AM,XX,DAVIS SQ,,,NA,120,ROBBERY,-71.1223151,42.3967172
5019640,06/23/2005 02:14:00 AM,XX,DAVIS SQ,,,NA,120,ROBBERY,-71.1223151,42.3967172
6005361,02/17/2006 03:13:00 PM,XX,DAVIS SQ,,,NA,240,MOTOR VEHICLE THEFT,-71.1223151,42.3967172
7017822,05/23/2007 08:50:00 PM,XX,DAVIS SQ,,S,NA,240,MOTOR VEHICLE THEFT,-71.1223151,42.3967172
5019342,06/17/2005 12:00:00 AM,XX,DAVIS SQ,,,NA,120,ROBBERY,-71.1223151,42.3967172
7034035,09/15/2007 02:54:00 PM,XX,DAVIS SQ,,S,136,23F,THEFT FROM MOTOR VEHICLE,-71.1223151,42.3967172
12000322,01/03/2012 04:35:00 PM,XX,DAY ST,,S,106,23F,THEFT FROM MOTOR VEHICLE,-71.1239479,42.3953672
13025567,07/04/2013 11:01:48 PM,XX,DAY ST,,S,106,23F,THEFT FROM MOTOR VEHICLE,-71.1239479,42.3953672
7037667,10/11/2007 02:11:00 PM,XX,DAY ST,,S,106,23F,THEFT FROM MOTOR VEHICLE,-71.1239479,42.3953672
7005762,02/20/2007 12:57:00 AM,XX,DAY ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1239479,42.3953672
12005227,02/11/2012 09:09:00 PM,XX,DAY ST,,S,106,23F,THEFT FROM MOTOR VEHICLE,-71.1239479,42.3953672
6037073,10/23/2006 08:43:00 PM,XX,DAY ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.1239479,42.3953672
7016347,05/12/2007 09:54:00 PM,XX,DAY ST,,S,NA,23F,THEFT FROM MOTOR VEHICLE,-71.1239479,42.3953672
6016619,05/20/2006 12:08:00 AM,XX,DAY ST,,S,NA,240,MOTOR VEHICLE THEFT,-71.1239479,42.3953672
11018869,06/11/2011 12:13:00 AM,XX,DAY ST,,S,106,240,MOTOR VEHICLE THEFT,-71.1239479,42.3953672
7044560,12/09/2007 01:45:00 AM,XX,DAY ST,,S,108,23F,THEFT FROM MOTOR VEHICLE,-71.1239479,42.3953672
8011559,04/06/2008 09:28:00 PM,XX,DAY ST,,S,106,23F,THEFT FROM MOTOR VEHICLE,-71.1239479,42.3953672
12001415,01/12/2012 01:05:00 PM,XX,DAY ST,,S,108,23F,THEFT FROM MOTOR VEHICLE,-71.1239479,42.3953672
11023447,07/20/2011 01:05:00 PM,XX,DAY ST,,S,106,240,MOTOR VEHICLE THEFT,-71.1239479,42.3953672
16011816,03/01/2016 08:25:04 PM,XX,DAY ST,,S,108,23F,THEFT FROM MOTOR VEHICLE,-71.1239479,42.3953672
8010286,03/27/2008 06:38:00 PM,XX,DAY ST,,S,106,23F,THEFT FROM MOTOR VEHICLE,-71.1239479,42.3953672
8019179,06/06/2008 06:37:00 PM,XX,DAY ST,,S,106,23F,THEFT FROM MOTOR VEHICLE,-71.1239479,42.3953672
9003139,01/25/2009 02:53:00 AM,XX,DAY ST,,S,106,23F,THEFT FROM MOTOR VEHICLE,-71.1239479,42.3953672
8013205,04/20/2008 02:18:00 AM,XX,DAY ST,,S,106,23F,THEFT FROM MOTOR VEHICLE,-71.1239479,42.3953672
